数据分析师#8k-15k#[广州·海珠区]#经验不限 / 本科#瀚翼扬 Hieyoung#“五险一金,全勤奖,年度体检”#内容社区
高级数据分析师-直播方向#15k-30k#[深圳·南山区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
高级数据分析师-抖音数据运营中台#30k-60k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
数据分析师(投放)#20k-40k#[北京·朝外]#经验1-3年 / 本科#五八同城信息技术有限公司#“发展空间大”#内容社区
BI业务数据分析师#18k-30k#[上海·洋泾]#经验3-5年 / 本科#奇富科技#“公司发展好 职业发展空间大”#EXCEL
游戏数据分析师#20k-40k#[北京·海淀区]#经验3-5年 / 本科#边锋#“团队发展好”#回归算法
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
高级数据分析师（重庆） (MJ001498)#20k-28k#[重庆·渝中区]#经验3-5年 / 本科#百融云创#“平台稳定，发展空间大”#人工智能服务
数据分析师（AB实验）#30k-40k#[上海·洋泾]#经验5-10年 / 本科#奇富科技#“发展空间大”#科技金融
数据分析师-用户增长#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“福利完善”#营销服务｜咨询
高级数据分析师#30k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师(j31885)#20k-40k#[北京·酒仙桥]#经验3-5年 / 本科#五八同城信息技术有限公司#“免费班车”#营销服务｜咨询
高级数据分析师（用户增长）#30k-40k#[北京·酒仙桥]#经验5-10年 / 本科#360#“核心团队”#MySQL
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
资深/高级数据分析师-HE4997#20k-35k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,发展前景好”#IT/互联网-新闻资讯
数据分析师-剪映#20k-40k#[深圳·南山区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
资深数据分析师（到家）-抖音电商#50k-100k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#弹性工作
高级数据分析师（上海） (MJ000802)#20k-35k#[上海·陆家嘴]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定，福利好”#回归算法
高级数据分析师（北京）#25k-40k#[北京·望京]#经验3-5年 / 硕士#百融云创#“数据模型丰富”#R语言
高级资深数据分析师 (MJ009712)#35k-65k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#电商平台
资深数据分析师 (MJ010508)#20k-40k#[广州·番禺区]#经验3-5年 / 本科#SHEIN#“弹性工作制，扁平化管理”#物流平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
广告数据分析师#18k-30k#[北京·海淀区]#经验3-5年 / 本科#创智汇聚#“文化氛围好”#工具类产品
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
高级数据分析师#30k-45k#[上海·洋泾]#经验5-10年 / 本科#奇富科技#“发展空间大 团队氛围好”#Excel
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师（投放策略）#30k-50k#[上海·洋泾]#经验3-5年 / 本科#微财数科#“六险一金 核心团队”#回归算法
数据分析师#8k-15k#[广州·海珠区]#经验不限 / 本科#瀚翼扬 Hieyoung#“五险一金,全勤奖,年度体检”#内容社区
游戏数据分析师#20k-40k#[北京·海淀区]#经验3-5年 / 本科#边锋#“团队发展好”#回归算法
数据分析师-番茄小说#20k-40k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,团队氛围好,大牛带队,免费三餐”#弹性工作
高级数据分析师（重庆） (MJ001498)#20k-28k#[重庆·渝中区]#经验3-5年 / 本科#百融云创#“平台稳定，发展空间大”#人工智能服务
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
BI业务数据分析师#18k-30k#[上海·洋泾]#经验3-5年 / 本科#奇富科技#“公司发展好 职业发展空间大”#EXCEL
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
高级数据分析师-直播方向#15k-30k#[深圳·南山区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
数据分析师（AB实验）#30k-40k#[上海·洋泾]#经验5-10年 / 本科#奇富科技#“发展空间大”#科技金融
数据分析师-用户增长#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“福利完善”#营销服务｜咨询
高级数据分析师#30k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师(j31885)#20k-40k#[北京·酒仙桥]#经验3-5年 / 本科#五八同城信息技术有限公司#“免费班车”#营销服务｜咨询
高级数据分析师（用户增长）#30k-40k#[北京·酒仙桥]#经验5-10年 / 本科#360#“核心团队”#MySQL
数据分析师(投放)#20k-40k#[北京·朝外]#经验1-3年 / 本科#五八同城信息技术有限公司#“发展空间大”#内容社区
资深/高级数据分析师-HE4997#20k-35k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,发展前景好”#IT/互联网-新闻资讯
高级数据分析师-抖音数据运营中台#30k-60k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
资深数据分析师/数据分析专家-国际化短视频#25k-50k#[上海·徐汇区]#经验不限 / 本科#字节跳动#“下午茶,六险一金,股票期权,团队氛围好”#数据挖掘
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
高级数据分析师（上海） (MJ000802)#20k-35k#[上海·陆家嘴]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定，福利好”#回归算法
高级资深数据分析师 (MJ009712)#35k-65k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#电商平台
资深数据分析师 (MJ010508)#20k-40k#[广州·番禺区]#经验3-5年 / 本科#SHEIN#“弹性工作制，扁平化管理”#物流平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
广告数据分析师#18k-30k#[北京·海淀区]#经验3-5年 / 本科#创智汇聚#“文化氛围好”#工具类产品
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
高级数据分析师#30k-45k#[上海·洋泾]#经验5-10年 / 本科#奇富科技#“发展空间大 团队氛围好”#Excel
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师（投放策略）#30k-50k#[上海·洋泾]#经验3-5年 / 本科#微财数科#“六险一金 核心团队”#回归算法
数据分析师#12k-20k#[深圳·上沙]#经验3-5年 / 本科#金证睿服#“招商基金”#科技金融
数据分析师#5k-8k#[上海·黄浦区]#经验在校/应届 / 本科#医之良相#“五险一金,定期体检,周末双休”#营销服务｜咨询
数据分析师#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“团队年轻，福利好，五险一金，双休”#营销服务｜咨询
数据分析师#9k-15k#[福州·鼓楼区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#6k-9k#[广州·天河区]#经验3-5年 / 本科#彩讯股份#“双休”#软件服务｜咨询
游戏用户增长数据分析师-ONE Studio#25k-50k#[北京·海淀区]#经验3-5年 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,免费三餐”#弹性工作
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
商业化营销资深数据分析师#10k-20k#[北京·朝阳区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#数字营销
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
资深数据分析师（深圳-推荐搜索流量ABT） (MJ010311)#25k-45k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“氛围年轻 发展前景广 平台空间大 机遇挑战多”#电商平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
高级资深数据分析师 (MJ009712)#35k-65k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#电商平台
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
商业化营销资深数据分析师#10k-20k#[北京·朝阳区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#数字营销
高级数据分析师-国际化音乐-上海#30k-60k#[上海·闵行区]#经验3-5年 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
高级数据分析师（用户增长）#30k-40k#[北京·酒仙桥]#经验5-10年 / 本科#360#“核心团队”#MySQL
游戏数据分析师#20k-40k#[北京·海淀区]#经验3-5年 / 本科#边锋#“团队发展好”#回归算法
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
高级/资深数据分析师-上海（平台电商） (MJ011687)#25k-40k#[上海·城隍庙]#经验3-5年 / 本科#SHEIN#“行业前景广 发展空间大 氛围年轻 弹性工时”#电商平台
资深数据分析师 (MJ010508)#20k-40k#[广州·番禺区]#经验3-5年 / 本科#SHEIN#“弹性工作制，扁平化管理”#物流平台
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
AI数据分析师#8k-12k#[无锡·新吴区]#经验在校/应届 / 硕士#NDIT长春#“绩效奖金,定期体检,周末双休”#暂无信息
数据分析师（财富业务）#20k-30k#[北京·望京]#经验3-5年 / 硕士#百融云创#“发展前景好”#科技金融
数据分析师(j31885)#20k-40k#[北京·酒仙桥]#经验3-5年 / 本科#五八同城信息技术有限公司#“免费班车”#营销服务｜咨询
大数据分析师#7k-12k#[南昌·青山湖区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
数据分析师#20k-25k#[北京·西北旺]#经验5-10年 / 本科#亚信科技#“免费班车”#软件服务｜咨询
数据分析师#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“团队年轻，福利好，五险一金，双休”#营销服务｜咨询
数据分析师#9k-15k#[福州·鼓楼区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#7k-12k#[福州·鼓楼区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#15k-30k#[北京]#经验3-5年 / 本科#字节跳动#“六险一金,团队氛围好,晋升空间大”#运营
资深数据分析师-飞书#25k-50k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,团队氛围好,带薪休假”#弹性工作
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
高级数据分析师（深圳） (MJ000046)#20k-35k#[深圳·科技园]#经验3-5年 / 硕士#百融云创#“发展空间大，福利好”#人工智能服务
数据分析师（接受实习）#5k-8k#[上饶·广信区]#经验不限 / 大专#江西涯戈陆驰环保科技有限公司#“五险一金,补充公积金,绩效奖金”#能源｜矿产｜环保
经营分析师/商业分析师/数据分析师#15k-20k#[深圳·西丽]#经验3-5年 / 本科#泊寓公寓#“周末双休、五险一金、青春活力”#软件服务｜咨询
高级数据分析师#27k-35k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“弹性工作时间”#回归算法
数据分析师（财富业务）#20k-30k#[北京·望京]#经验3-5年 / 硕士#百融云创#“发展前景好”#科技金融
数据分析师（投放策略）#30k-50k#[上海·洋泾]#经验3-5年 / 本科#微财数科#“六险一金 核心团队”#回归算法
高级数据分析师-直播业务（营收方向）#15k-30k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#弹性工作
资深数据分析师-飞书#25k-50k#[杭州·西湖区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,团队氛围好,带薪休假”#弹性工作
高级数据分析师（投放策略）#30k-50k#[北京·北下关]#经验5-10年 / 本科#微财数科#“六险一金、核心团队、发展空间大”#回归算法
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
资深数据分析师（深圳-推荐搜索流量ABT） (MJ010311)#25k-45k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“氛围年轻 发展前景广 平台空间大 机遇挑战多”#电商平台
高级数据分析师（北京） (MJ000047)#25k-35k#[北京·朝阳区]#经验3-5年 / 硕士#百融云创#“成长空间大，平台稳定”#人工智能服务
大数据分析师#7k-12k#[长沙·芙蓉区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师(投放)#20k-40k#[北京·朝外]#经验1-3年 / 本科#五八同城信息技术有限公司#“发展空间大”#内容社区
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
资深/高级数据分析师-HE4997#20k-35k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,发展前景好”#IT/互联网-新闻资讯
高级/资深数据分析师（推荐业务）#30k-40k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#ab test
数据分析师（接受实习）#5k-8k#[邯郸·丛台区]#经验不限 / 大专#司路得#“定期体检,员工旅游,弹性工作”#制造业
数据分析师#6k-9k#[广州·天河区]#经验3-5年 / 本科#彩讯股份#“双休”#软件服务｜咨询
数据分析师#7k-12k#[贵阳·云岩区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#9k-15k#[福州·鼓楼区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#9k-12k#[重庆·九龙坡区]#经验3-5年 / 本科#灵工有招（深圳）数字科技有限公司#“五险一金,过节费,年终奖金”#暂无信息
数据分析师#15k-25k#[杭州·滨江区]#经验3-5年 / 大专#上海煜麦网络科技有限公司#“五险一金,提成奖金,绩效奖金”#网络通信
数据分析师#15k-20k#[深圳·南山区]#经验3-5年 / 本科#聚合吧#“五险一金,绩效奖金,定期体检”#内容社区
数据分析师#12k-20k#[广州·海珠区]#经验3-5年 / 本科#TUDOO SHOWROOM#“全勤奖,周末双休,购买五险”#暂无信息
高级数据分析师（北京） (MJ000047)#25k-35k#[北京·朝阳区]#经验3-5年 / 硕士#百融云创#“成长空间大，平台稳定”#人工智能服务
数据分析师-抖音生活服务#25k-50k#[成都·武侯区]#经验不限 / 本科#字节跳动#“下午茶,六险一金,扁平管理,免费三餐”#弹性工作
高级数据分析师-国际化音乐-上海#30k-60k#[上海·闵行区]#经验3-5年 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
资深/高级数据分析师-HE4997#20k-35k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,发展前景好”#IT/互联网-新闻资讯
数据分析师（接受实习）#5k-8k#[汉中·汉台区]#经验不限 / 大专#驰策鹿#“带薪休假,员工旅游,一年2次调薪”#制造业
高级数据分析师（深圳） (MJ000046)#20k-35k#[深圳·科技园]#经验3-5年 / 硕士#百融云创#“发展空间大，福利好”#人工智能服务
高级资深数据分析师 (MJ009712)#35k-65k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#电商平台
资深数据分析师 (MJ010508)#20k-40k#[广州·番禺区]#经验3-5年 / 本科#SHEIN#“弹性工作制，扁平化管理”#物流平台
数据分析师#7k-12k#[福州·鼓楼区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师-游戏方向#20k-40k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
资深数据分析师（深圳-推荐搜索流量ABT） (MJ010311)#25k-45k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“氛围年轻 发展前景广 平台空间大 机遇挑战多”#电商平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
广告数据分析师#18k-30k#[北京·海淀区]#经验3-5年 / 本科#创智汇聚#“文化氛围好”#工具类产品
数据分析师-生活服务#20k-40k#[成都·武侯区]#经验1-3年 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,带薪休假”#弹性工作
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
高级/资深数据分析师-上海（平台电商） (MJ011687)#25k-40k#[上海·城隍庙]#经验3-5年 / 本科#SHEIN#“行业前景广 发展空间大 氛围年轻 弹性工时”#电商平台
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
数据分析师（投放策略）#30k-50k#[上海·洋泾]#经验3-5年 / 本科#微财数科#“六险一金 核心团队”#回归算法
高级数据分析师（投放策略）#30k-50k#[北京·北下关]#经验5-10年 / 本科#微财数科#“六险一金、核心团队、发展空间大”#回归算法
数据分析师 (MJ005761)#25k-40k#[北京·中关村]#经验3-5年 / 本科#去哪儿网#“核心业务 成长空间”#旅游｜出行
数据分析师#4k-6k#[大连·中山区]#经验不限 / 大专#大连颢雯网络科技有限公司#“五险一金,周末双休,员工宿舍”#内容社区
数据分析师#8k-15k#[广州·海珠区]#经验不限 / 本科#瀚翼扬 Hieyoung#“五险一金,全勤奖,年度体检”#内容社区
数据分析师#5k-8k#[广州·黄埔区]#经验1-3年 / 大专#广州力麒智能科技有限公司#“全勤奖,伯乐奖,每年司龄工资”#智能硬件
数据分析师#6k-12k#[云浮·罗定市]#经验3-5年 / 本科#贵州鹏莱信息咨询服务有限公司#“五险一金,补充公积金,定期体检”#营销服务｜咨询
数据分析师#7k-12k#[贵阳·云岩区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#9k-15k#[福州·鼓楼区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#6k-10k#[深圳·宝安区]#经验1-3年 / 本科#维城生物#“生日会,五险一金,绩效奖金”#新零售
数据分析师#8k-15k#[南京·玄武区]#经验1-3年 / 本科#南京凯唱软件有限公司#“五险一金,绩效奖金,定期体检”#暂无信息
数据分析师-抖音直播#30k-60k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
高级数据分析师（北京）#25k-40k#[北京·望京]#经验3-5年 / 硕士#百融云创#“数据模型丰富”#R语言
数据分析师 (MJ005761)#25k-40k#[北京·中关村]#经验3-5年 / 本科#去哪儿网#“核心业务 成长空间”#旅游｜出行
高级数据分析师（汽车金融） (MJ000795)#20k-35k#[北京·朝阳区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#人工智能服务
数据分析师-国际支付#22k-44k#[北京·朝阳区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#数据挖掘
高级数据分析师#25k-40k#[深圳·南山区]#经验5-10年 / 本科#AfterShip#“发展前景 团队氛围”#软件服务｜咨询
高级数据分析师#30k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师#7k-12k#[福州·鼓楼区]#经验1-3年 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
抖音资深数据分析师#15k-30k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
商业化营销资深数据分析师#10k-20k#[上海·徐汇区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,团队氛围好”#数字营销
高级数据分析师（北京）#25k-40k#[北京·望京]#经验3-5年 / 硕士#百融云创#“数据模型丰富”#R语言
数据分析师 (MJ005761)#25k-40k#[北京·中关村]#经验3-5年 / 本科#去哪儿网#“核心业务 成长空间”#旅游｜出行
游戏数据分析师#20k-40k#[北京·海淀区]#经验3-5年 / 本科#边锋#“团队发展好”#回归算法
高级数据分析师（重庆） (MJ001498)#20k-28k#[重庆·渝中区]#经验3-5年 / 本科#百融云创#“平台稳定，发展空间大”#人工智能服务
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
广告数据分析师#18k-30k#[北京·海淀区]#经验3-5年 / 本科#创智汇聚#“文化氛围好”#工具类产品
数据分析师(j31885)#20k-40k#[北京·酒仙桥]#经验3-5年 / 本科#五八同城信息技术有限公司#“免费班车”#营销服务｜咨询
数据分析师-用户增长#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“福利完善”#营销服务｜咨询
高级数据分析师#25k-40k#[深圳·南山区]#经验5-10年 / 本科#AfterShip#“发展前景 团队氛围”#软件服务｜咨询
高级/资深数据分析师-上海（平台电商） (MJ011687)#25k-40k#[上海·城隍庙]#经验3-5年 / 本科#SHEIN#“行业前景广 发展空间大 氛围年轻 弹性工时”#电商平台
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
BI数据分析师#15k-25k#[北京·望京]#经验1-3年 / 硕士#Castbox#“出海文化 扁平管理”#深度学习
